AuthorID,Author,Date,Content,Attachments,Reactions
"601861247469879297","Hyperthermia#6827","24-Mar-21 09:11 PM","3","",""
"601861247469879297","Hyperthermia#6827","24-Mar-21 09:11 PM","33","",""
"601861247469879297","Hyperthermia#6827","24-Mar-21 09:11 PM","3","",""
"601861247469879297","Hyperthermia#6827","24-Mar-21 09:11 PM","3","",""
"601861247469879297","Hyperthermia#6827","24-Mar-21 09:11 PM","3","",""
"668035632475537408","Limeade#9926","24-Mar-21 09:11 PM","1","",""
"668035632475537408","Limeade#9926","24-Mar-21 09:11 PM","1","",""
"668035632475537408","Limeade#9926","24-Mar-21 09:11 PM","1","",""
"668035632475537408","Limeade#9926","24-Mar-21 09:12 PM","1","",""
"668035632475537408","Limeade#9926","24-Mar-21 09:12 PM","11","",""
"668035632475537408","Limeade#9926","24-Mar-21 09:12 PM","1","",""
"601861247469879297","Hyperthermia#6827","24-Mar-21 09:12 PM","3","",""
"601861247469879297","Hyperthermia#6827","24-Mar-21 09:12 PM","3","",""
"601861247469879297","Hyperthermia#6827","24-Mar-21 09:12 PM","3","",""
"601861247469879297","Hyperthermia#6827","24-Mar-21 09:12 PM","3","",""
"601861247469879297","Hyperthermia#6827","24-Mar-21 09:12 PM","3","",""
"668035632475537408","Limeade#9926","24-Mar-21 09:12 PM","1","",""
"302364139488149504","mmm ansa#7090","24-Mar-21 09:12 PM","2","",""
"593730252124061725","char#2453","24-Mar-21 09:13 PM","3?","",""
"302364139488149504","mmm ansa#7090","24-Mar-21 09:13 PM","4","",""
"249584818436833280","SolarGiraffe#9527","24-Mar-21 11:04 PM","5","",""
"668035632475537408","Limeade#9926","25-Mar-21 03:12 PM","6","",""
"302364139488149504","mmm ansa#7090","25-Mar-21 03:18 PM","7","",""
"404902608810016769","janine ✧*。#6393","25-Mar-21 04:30 PM","10","",""
"593730252124061725","char#2453","25-Mar-21 04:43 PM","11","",""
"249584818436833280","SolarGiraffe#9527","25-Mar-21 05:06 PM","twelve? why did we miss 8 and 9","",""
"668035632475537408","Limeade#9926","25-Mar-21 06:58 PM","i hate this chat its gonna annoying me so much","",""
"274224695065313281","addison#0127","25-Mar-21 06:59 PM","One","",""
"668035632475537408","Limeade#9926","25-Mar-21 06:59 PM","two","",""
"249584818436833280","SolarGiraffe#9527","25-Mar-21 06:59 PM","Tree","",""
"668035632475537408","Limeade#9926","25-Mar-21 06:59 PM","fuck this shitting chat then","",""
"249584818436833280","SolarGiraffe#9527","25-Mar-21 06:59 PM","you can mute it if thats the problem","https://cdn.discordapp.com/attachments/824389387319377950/824719268146970676/unknown.png",""
"668035632475537408","Limeade#9926","25-Mar-21 07:00 PM","no it just hurts my head cuz im retarded and getting to 1000 would be well nice","",""
"668035632475537408","Limeade#9926","25-Mar-21 07:01 PM","one","",""
"274224695065313281","addison#0127","25-Mar-21 07:01 PM","Two","",""
"249584818436833280","SolarGiraffe#9527","25-Mar-21 07:05 PM","3️⃣","",""
"565135326071488522","Big_Yeast#4007","25-Mar-21 07:05 PM","🇮 🇻","",""
"404902608810016769","janine ✧*。#6393","25-Mar-21 09:20 PM","五","",""
"668035632475537408","Limeade#9926","25-Mar-21 09:23 PM","vi","",""
"249584818436833280","SolarGiraffe#9527","25-Mar-21 10:53 PM","7","",""
"302364139488149504","mmm ansa#7090","25-Mar-21 11:06 PM","1","",""
"302364139488149504","mmm ansa#7090","25-Mar-21 11:07 PM","Pinned a message.","",""
"466277045404565505","Blitz#3671","25-Mar-21 11:07 PM","2","",""
"302364139488149504","mmm ansa#7090","25-Mar-21 11:07 PM","3","",""
"638056567874256926","Amvic60#1140","26-Mar-21 07:19 AM","4","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 07:44 AM","5","",""
"485020107559403522","Amaz#4800","26-Mar-21 04:56 PM","6","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 05:05 PM","7","",""
"249584818436833280","SolarGiraffe#9527","26-Mar-21 05:08 PM","8","",""
"485020107559403522","Amaz#4800","26-Mar-21 05:23 PM","9","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 05:37 PM","10","",""
"249584818436833280","SolarGiraffe#9527","26-Mar-21 05:44 PM","11","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 05:51 PM","12","",""
"249584818436833280","SolarGiraffe#9527","26-Mar-21 05:58 PM","13","",""
"601861247469879297","Hyperthermia#6827","26-Mar-21 06:14 PM","15","",""
"249584818436833280","SolarGiraffe#9527","26-Mar-21 06:15 PM","1","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 06:16 PM","2","",""
"458304698827669536","invisi.#0561","26-Mar-21 06:17 PM","3","",""
"249584818436833280","SolarGiraffe#9527","26-Mar-21 06:17 PM","4","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 06:17 PM","5","",""
"458304698827669536","invisi.#0561","26-Mar-21 06:17 PM","６","",""
"249584818436833280","SolarGiraffe#9527","26-Mar-21 06:18 PM","7","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 06:18 PM","8","",""
"458304698827669536","invisi.#0561","26-Mar-21 06:18 PM","９","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 06:18 PM","10","",""
"458304698827669536","invisi.#0561","26-Mar-21 06:18 PM","１１","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 06:19 PM","12","",""
"458304698827669536","invisi.#0561","26-Mar-21 06:20 PM","13","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 06:20 PM","14","",""
"601861247469879297","Hyperthermia#6827","26-Mar-21 06:20 PM","15","",""
"458304698827669536","invisi.#0561","26-Mar-21 06:20 PM","16","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 06:21 PM","17","",""
"458304698827669536","invisi.#0561","26-Mar-21 06:21 PM","18","",""
"302364139488149504","mmm ansa#7090","26-Mar-21 06:21 PM","19","",""
